time,queen,threads,solutions,seconds,microseconds,cpu_temp,gpu_temp
1566157298, 12, 4, 14200, 17, 829323, 63.78, 62.00
1566157316, 12, 4, 14200, 17, 756130, 66.22, 66.00
1566157334, 12, 4, 14200, 17, 747246, 67.68, 67.00
1566157352, 12, 4, 14200, 17, 856655, 70.11, 70.00
1566157370, 12, 4, 14200, 17, 839342, 71.58, 71.00
1566157388, 12, 4, 14200, 17, 906706, 73.52, 73.00
1566157406, 12, 4, 14200, 17, 660740, 74.01, 73.00
1566157424, 12, 4, 14200, 17, 837800, 74.98, 74.00
1566157442, 12, 4, 14200, 17, 996721, 76.44, 76.00
1566157460, 12, 4, 14200, 17, 638175, 76.93, 76.00
1566157478, 12, 4, 14200, 18, 486127, 77.91, 76.00
1566157497, 12, 4, 14200, 18, 918945, 77.91, 77.00
1566157516, 12, 4, 14200, 18, 300768, 77.91, 77.00
1566157535, 12, 4, 14200, 18, 847281, 79.37, 78.00
1566157554, 12, 4, 14200, 19, 453333, 78.39, 79.00
1566157574, 12, 4, 14200, 19, 651251, 78.88, 78.00
1566157594, 12, 4, 14200, 20, 306053, 79.85, 79.00
1566157615, 12, 4, 14200, 20, 533307, 79.85, 80.00
1566157636, 12, 4, 14200, 20, 749042, 79.37, 79.00
1566157658, 12, 4, 14200, 21, 549765, 78.88, 79.00
1566157679, 12, 4, 14200, 21, 206026, 80.83, 80.00
1566157700, 12, 4, 14200, 21, 207190, 80.34, 80.00
1566157722, 12, 4, 14200, 21, 557004, 78.88, 78.00
1566157743, 12, 4, 14200, 21, 468361, 79.85, 79.00
1566157765, 12, 4, 14200, 21, 875263, 80.83, 80.00
1566157787, 12, 4, 14200, 22, 9531, 79.37, 79.00
1566157809, 12, 4, 14200, 21, 552944, 80.34, 80.00
1566157832, 12, 4, 14200, 22, 921764, 79.85, 79.00
1566157854, 12, 4, 14200, 22, 241589, 79.85, 79.00
1566157876, 12, 4, 14200, 21, 495683, 80.34, 80.00
1566157899, 12, 4, 14200, 22, 544792, 78.88, 78.00
1566157921, 12, 4, 14200, 21, 739846, 80.83, 79.00
1566157943, 12, 4, 14200, 22, 447282, 78.88, 78.00
1566157966, 12, 4, 14200, 22, 366974, 79.85, 79.00
1566157988, 12, 4, 14200, 22, 451299, 80.83, 80.00
1566158011, 12, 4, 14200, 22, 267221, 80.34, 80.00
1566158033, 12, 4, 14200, 22, 456833, 81.31, 81.00
1566158056, 12, 4, 14200, 22, 729757, 80.34, 78.00
1566158078, 12, 4, 14200, 22, 245154, 79.85, 79.00
1566158101, 12, 4, 14200, 22, 572832, 79.37, 79.00
1566158124, 12, 4, 14200, 23, 106409, 80.34, 80.00
1566158147, 12, 4, 14200, 22, 556495, 80.34, 80.00
1566158170, 12, 4, 14200, 23, 284295, 79.37, 79.00
1566158193, 12, 4, 14200, 22, 654045, 78.88, 80.00
1566158215, 12, 4, 14200, 22, 138264, 79.37, 80.00
1566158238, 12, 4, 14200, 22, 876178, 79.85, 79.00
1566158261, 12, 4, 14200, 22, 439182, 79.85, 79.00
1566158283, 12, 4, 14200, 22, 603156, 79.85, 79.00
1566158306, 12, 4, 14200, 22, 822197, 80.34, 80.00
1566158329, 12, 4, 14200, 22, 188052, 80.34, 80.00
1566158351, 12, 4, 14200, 22, 177397, 80.34, 80.00
1566158373, 12, 4, 14200, 22, 506053, 80.34, 79.00
1566158396, 12, 4, 14200, 22, 638173, 79.37, 81.00
1566158419, 12, 4, 14200, 22, 524628, 80.83, 80.00
1566158442, 12, 4, 14200, 23, 698769, 80.34, 80.00
1566158465, 12, 4, 14200, 22, 36124, 80.83, 81.00
1566158488, 12, 4, 14200, 22, 965528, 80.34, 80.00
1566158510, 12, 4, 14200, 22, 597845, 80.83, 80.00
1566158533, 12, 4, 14200, 22, 587440, 80.83, 80.00
1566158556, 12, 4, 14200, 22, 628643, 79.85, 80.00
1566158578, 12, 4, 14200, 22, 595630, 79.85, 79.00
1566158601, 12, 4, 14200, 22, 568527, 80.83, 80.00
1566158624, 12, 4, 14200, 22, 703874, 79.85, 79.00
1566158648, 12, 4, 14200, 23, 998000, 79.37, 79.00
1566158670, 12, 4, 14200, 22, 387365, 80.34, 80.00
1566158693, 12, 4, 14200, 22, 684864, 80.83, 79.00
1566158716, 12, 4, 14200, 22, 417585, 80.34, 80.00
1566158738, 12, 4, 14200, 22, 578824, 81.31, 80.00
1566158761, 12, 4, 14200, 22, 557183, 80.34, 80.00
1566158783, 12, 4, 14200, 22, 449534, 79.85, 79.00
1566158806, 12, 4, 14200, 22, 321888, 79.85, 79.00
1566158829, 12, 4, 14200, 22, 662768, 80.34, 80.00
1566158851, 12, 4, 14200, 22, 668786, 80.34, 79.00
1566158874, 12, 4, 14200, 22, 809164, 80.34, 80.00
1566158897, 12, 4, 14200, 22, 779537, 80.83, 80.00
1566158920, 12, 4, 14200, 22, 553990, 80.34, 80.00
1566158943, 12, 4, 14200, 23, 198378, 80.34, 80.00
1566158966, 12, 4, 14200, 22, 467204, 80.83, 81.00
1566158989, 12, 4, 14200, 22, 793161, 81.31, 80.00
1566159011, 12, 4, 14200, 22, 786045, 79.37, 79.00
1566159034, 12, 4, 14200, 22, 921049, 80.83, 80.00
1566159057, 12, 4, 14200, 22, 775293, 80.34, 80.00
1566159080, 12, 4, 14200, 22, 781451, 80.83, 80.00
1566159104, 12, 4, 14200, 23, 312066, 81.80, 80.00
1566159126, 12, 4, 14200, 22, 628186, 81.80, 80.00
1566159149, 12, 4, 14200, 22, 821005, 79.37, 79.00
1566159171, 12, 4, 14200, 22, 259523, 80.34, 80.00
1566159194, 12, 4, 14200, 22, 405162, 80.83, 80.00
1566159217, 12, 4, 14200, 22, 875343, 79.85, 80.00
1566159240, 12, 4, 14200, 22, 819113, 79.85, 79.00
1566159263, 12, 4, 14200, 23, 231911, 80.34, 80.00
1566159286, 12, 4, 14200, 22, 406692, 80.34, 80.00
1566159309, 12, 4, 14200, 22, 905980, 81.80, 81.00
1566159332, 12, 4, 14200, 22, 895828, 80.34, 80.00
1566159355, 12, 4, 14200, 22, 936502, 81.31, 81.00
1566159377, 12, 4, 14200, 22, 765426, 80.34, 80.00
1566159400, 12, 4, 14200, 22, 756942, 79.85, 79.00
1566159423, 12, 4, 14200, 23, 103224, 80.83, 80.00
1566159446, 12, 4, 14200, 22, 661955, 79.85, 79.00
1566159469, 12, 4, 14200, 22, 803464, 80.83, 80.00
